frame_id,t_mono_ms,video_frame,rgb_path,depth_path,has_depth,depth_rtt_ms,depth_age_ms,pad_id,pos_x_cm,pos_y_cm,pos_z_cm,yaw_deg,height_cm,vgx,vgy,vgz,pitch_deg,roll_deg,bat_pct,act_roll,act_pitch,act_throttle,act_yaw,ctrl_state,near_left,near_mid,near_right,wander_state,wander_event
69,8084,68,,depth/000069.npy,1,144.7,225.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
70,8208,69,,depth/000070.npy,1,143.6,179.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4294,0.3491,,
71,8332,70,,depth/000071.npy,1,142.0,227.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
72,8456,71,,depth/000071.npy,1,142.0,350.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
73,8575,72,,depth/000073.npy,1,146.6,285.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4275,0.3452,,
74,8697,73,,depth/000074.npy,1,145.6,263.5,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4314,0.3491,,
75,8817,74,,depth/000075.npy,1,141.0,211.5,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2922,0.4353,0.353,,
76,8936,75,,depth/000076.npy,1,144.6,232.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
77,9057,76,,depth/000077.npy,1,139.8,201.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2942,0.4314,0.353,,
78,9185,77,,depth/000077.npy,1,139.8,325.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2942,0.4314,0.353,,
79,9306,78,,depth/000079.npy,1,145.6,345.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2922,0.4314,0.3491,,
80,9423,79,,depth/000080.npy,1,143.3,265.0,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2942,0.4353,0.3452,,
81,9540,80,,depth/000081.npy,1,138.3,216.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2903,0.4314,0.3411,,
82,9662,81,,depth/000082.npy,1,139.1,234.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2903,0.4275,0.3372,,
83,9782,82,,depth/000083.npy,1,143.0,254.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2903,0.4275,0.3411,,
84,9900,83,,depth/000084.npy,1,140.0,201.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2922,0.4275,0.3411,,
85,10019,84,,depth/000084.npy,1,140.0,326.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2922,0.4275,0.3411,,
86,10139,85,,depth/000086.npy,1,148.0,264.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2922,0.4236,0.3452,,
87,10251,86,,depth/000087.npy,1,190.6,261.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2922,0.4197,0.3452,,
88,10364,87,,depth/000087.npy,1,190.6,366.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2922,0.4197,0.3452,,
89,10470,88,,depth/000089.npy,1,160.2,308.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2981,0.4236,0.3372,,
90,10593,89,,depth/000090.npy,1,173.1,272.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2942,0.4197,0.3372,,
91,10716,90,,depth/000091.npy,1,138.3,191.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,87.0,0,0,0,0,HOVER,0.2942,0.4158,0.3391,,
92,10836,91,,depth/000091.npy,1,138.3,308.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2942,0.4158,0.3391,,
93,10953,92,,depth/000093.npy,1,147.8,298.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2961,0.4158,0.3333,,
94,11077,93,,depth/000094.npy,1,140.7,248.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2961,0.4158,0.3372,,
95,11197,94,,depth/000095.npy,1,145.7,214.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2942,0.4158,0.3333,,
96,11315,95,,depth/000096.npy,1,144.1,256.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2942,0.4158,0.3333,,
97,11438,96,,depth/000097.npy,1,143.7,219.0,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2981,0.4197,0.3293,,
98,11562,97,,depth/000097.npy,1,143.7,336.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2981,0.4197,0.3293,,
99,11680,98,,depth/000099.npy,1,147.7,320.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2981,0.4197,0.3333,,
100,11796,99,,depth/000100.npy,1,137.3,266.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2942,0.4158,0.3333,,
101,11901,100,,depth/000100.npy,1,137.3,384.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2942,0.4158,0.3333,,
102,12008,101,,depth/000102.npy,1,203.7,320.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2981,0.4197,0.3391,,
103,12127,102,,depth/000103.npy,1,150.8,299.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2961,0.4236,0.3452,,
104,12232,103,,depth/000104.npy,1,150.4,209.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2961,0.4197,0.3452,,
105,12361,104,,depth/000104.npy,1,150.4,343.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2961,0.4197,0.3452,,
